id,part_id,variant_group_id,supplier,no_tax_price,purchase_special_invoice,purchase_general_invoice,oa_supplier_id,external_price_fields
1639,84,487b14e39f8e4a5cab4e02fea0c4478a,徽菱,265.00,0.00,,28,
1640,84,487b14e39f8e4a5cab4e02fea0c4478a,梯乎,215.00,0.00,0.00,77,
1641,134,53e7c0860a0544f58b8df07ea146e124,菱威,125.00,0.00,,20,
1642,134,53e7c0860a0544f58b8df07ea146e124,南希,110.00,0.00,,67,
1643,135,3b6e547643a6465ca389dc43a46dca4f,菱威,280.00,0.00,,20,
1644,135,55940354791946d693a75c6b65fce1db,菱威,120.00,0.00,,20,
1645,159,3c23dbcd49804094b53c418dcf17aa7b,梯安,265.00,0.00,,18,
1646,3380,86ca66d80ad24069bacec24e893ca8f8,菱威,44.00,0.00,,20,
1647,183,fc020de112bd43e593826dbef4d5ecd3,菱威,65.00,0.00,,20,
1648,187,1538d1c1dd054af694318de0e542e3c5,菱威,95.00,0.00,,20,
1649,191,8f0f56927e634dc48ad39ae5e32273e5,菱威,135.00,0.00,,20,
1650,234,ae1367c019fa45819e57c9c0379872fd,菱威,350.00,0.00,,20,
1651,234,d22aa9ff8b36463aa98e78dc699a575b,湖州讯通,203.54,230.00,,103,
1652,234,d22aa9ff8b36463aa98e78dc699a575b,宏鑫,203.54,230.00,,64,
1653,5427,3e30caf394764041b2b9572b286134ac,菱威,175.00,197.75,,20,
1654,5427,3e30caf394764041b2b9572b286134ac,新动力,220.00,248.60,,49,
1655,89,bf938c3eb3534028a1179f48c6d4855e,梯乎,0.00,0.00,35.00,77,
1656,255,00301eb5cca84c78ba4f8f53e381ef16,菱威,95.00,0.00,,20,
1657,240,8fa42f37b570428b82bf422bbac9ff1d,菱威,170.00,0.00,,20,
1658,265,953914356c2e4f8eb9324495d4fa2ec5,南希,180.00,0.00,,67,
1659,270,cad82db9c68045e8933e27327ac3cf49,梯安,450.00,0.00,,18,
1660,301,1e9eb2bac363401fae7b1373b880c6f4,菱威,285.00,0.00,,20,
1661,135,3b6e547643a6465ca389dc43a46dca4f,梯乎,210.00,0.00,0.00,77,
1662,413,91f8ad1859674e5cbacc5275042e9f0c,梯乎,1100.00,0.00,0.00,77,
1663,453,f7287322f68d45428045f7f6ef874b72,菱威,90.00,0.00,,20,
1664,502,1353b938bf5c4cbd9be979f9c005bec2,菱威,285.00,0.00,,20,
